"Código Régimen","Código Departamento","Código Localidad","Padrón","Block/Manzana","EP/SS","Unidad","Área predio","Área edificada","Valor catastral terreno","Valor catastral mejoras","Valor catastral total","Valor para impuestos","Fecha última DJCU","Vigencia última DJCU"
"CO","B","EH",80,"","",0,433,153,277530,2184222,2461752,2461752,"/  /","/  /"
"CO","B","EH",81,"","",0,546,0,221305,0,221305,221305,"/  /","/  /"
"CO","B","EH",82,"","",0,603,0,238728,0,238728,238728,"/  /","/  /"
"CO","B","EH",83,"","",0,603,279,238728,1629527,1868255,1868255,"11/09/2015","11/09/2020"
"CO","B","EH",84,"","",0,291,108,128917,664172,793089,793089,"/  /","/  /"
"CO","B","EH",85,"","",0,502,193,227127,985410,1212537,1212537,"24/05/2018","24/05/2023"
"CO","B","EH",86,"","",0,393,0,192630,0,192630,192630,"01/02/2023","01/02/2028"
"CO","B","EH",87,"","",0,486,0,201555,0,201555,201555,"01/02/2023","01/02/2028"
"CO","B","EH",88,"","",0,399,0,139160,0,139160,139160,"01/02/2023","01/02/2028"
"CO","B","EH",89,"","",0,517,0,160812,0,160812,160812,"01/02/2023","01/02/2028"
"CO","B","EH",90,"","",0,539,0,167664,0,167664,167664,"01/02/2023","01/02/2028"
"CO","B","EH",91,"","",0,680,197,269209,3093591,3362800,3362800,"/  /","/  /"
"CO","B","EH",92,"","",0,578,158,158005,2319362,2477367,2477367,"03/10/2014","03/10/2019"
"CO","B","EH",93,"","",0,879,289,240273,1903710,2143983,1829557,"18/10/2021","18/10/2026"
"CO","B","EH",95,"","",0,653,160,190525,785319,975844,975844,"22/10/2010","22/10/2015"
"CO","B","EH",96,"","",0,700,0,290324,0,290324,290324,"/  /","/  /"
"CO","B","EH",97,"","",0,556,140,267286,1074732,1342018,1342018,"01/03/2012","01/03/2017"
"CO","B","EH",99,"","",0,756,219,313547,1807144,2120691,1990451,"22/11/2022","22/11/2027"
"CO","B","EH",118,"","",0,309,173,183492,2716707,2900199,2900199,"/  /","/  /"
"CO","B","EH",122,"","",0,651,0,362039,0,362039,362039,"/  /","/  /"
"CO","B","EH",127,"","",0,3108,759,1611255,5443698,7054953,7877937,"25/05/2023","25/05/2028"
"CO","B","EH",130,"","",0,1264,380,571888,7803455,8375343,8375343,"/  /","/  /"
"CO","B","EH",132,"","",0,3820,1926,1728320,28474547,30202867,30202867,"28/09/2016","28/09/2021"
"CO","B","EH",138,"","",0,1378,647,618948,9267857,9886805,9886805,"15/07/2007","15/07/2012"
"CO","B","EH",140,"","",0,727,263,322073,896203,1218276,1218276,"04/05/2015","04/05/2020"
"CO","B","EH",145,"","",0,509,128,287863,1546199,1834062,1834062,"/  /","/  /"
"CO","B","EH",149,"","",0,329,197,145753,2769381,2915134,2915134,"17/06/2008","17/06/2013"
"CO","B","EH",157,"","",0,209,148,110329,1178622,1288951,1283639,"15/02/2022","15/02/2027"
"CO","B","EH",158,"","",0,263,104,126431,1117859,1244290,1244290,"02/05/2018","02/05/2023"
"CO","B","EH",159,"","",0,313,0,138665,0,138665,138665,"/  /","/  /"
"CO","B","EH",160,"","",0,286,213,129403,1529788,1659191,1659191,"09/01/2007","09/01/2012"
"CO","B","EH",162,"","",0,611,435,270676,4281706,4552382,4552382,"29/09/2014","29/09/2019"
"CO","B","EH",164,"","",0,305,64,132250,702828,835078,835078,"/  /","/  /"
"CO","B","EH",165,"","",0,271,64,120059,702828,822887,822887,"/  /","/  /"
"CO","B","EH",166,"","",0,420,110,190031,1207965,1397996,1397996,"/  /","/  /"
"CO","B","EH",168,"","",0,508,232,253780,1966345,2220125,2220125,"21/01/2019","21/01/2024"
"CO","B","EH",169,"","",0,360,151,159478,1082551,1242029,2015241,"16/04/2023","16/04/2028"
"CO","B","EH",170,"","",0,375,139,162597,924124,1086721,1086721,"08/02/2012","08/02/2017"
"CO","B","EH",171,"","",0,348,0,150890,0,150890,150890,"/  /","/  /"
"CO","B","EH",172,"","",0,389,0,164998,0,164998,164998,"/  /","/  /"
"CO","B","EH",173,"","",0,623,350,199666,7187391,7387057,7387057,"/  /","/  /"
"CO","B","EH",174,"","",0,678,316,153376,3208190,3361566,3361566,"29/10/2007","29/10/2012"
"CO","B","EH",176,"","",0,649,33,238573,143132,381705,381705,"/  /","/  /"
"CO","B","EH",178,"","",0,467,0,184886,0,184886,184886,"/  /","/  /"
"CO","B","EH",179,"","",0,450,238,178145,1436017,1614162,1043208,"05/03/2024","05/03/2029"
"CO","B","EH",192,"","",0,1494,513,704111,5313977,6018088,6018088,"26/06/2013","26/06/2018"
"CO","B","EH",195,"","",0,1181,293,556597,4356166,4912763,4912763,"/  /","/  /"
"CO","B","EH",196,"","",0,1025,148,483084,486817,969901,969901,"/  /","/  /"
"CO","B","EH",197,"","",0,780,33,374968,179382,554350,554350,"/  /","/  /"
"CO","B","EH",198,"","",0,240,159,135731,1768955,1904686,1904686,"07/06/2017","07/06/2022"
"CO","B","EH",199,"","",0,450,0,254492,0,254492,254492,"/  /","/  /"
"CO","B","EH",200,"","",0,350,197,158351,1665431,1823782,1823782,"/  /","/  /"
"CO","B","EH",203,"","",0,416,0,266637,0,266637,266637,"/  /","/  /"
"CO","B","EH",204,"","",0,400,343,256380,3546920,3803300,1583776,"29/02/2024","28/02/2029"
"CO","B","EH",205,"","",0,400,222,214911,1620976,1835887,1835887,"17/01/2017","17/01/2022"
"CO","B","EH",206,"","",0,400,84,214911,557952,772863,772863,"05/12/2012","05/12/2017"
"CO","B","EH",208,"","",0,400,108,214911,505443,720354,720354,"29/09/2008","29/09/2013"
"CO","B","EH",209,"","",0,252,100,161520,886140,1047660,1047660,"/  /","/  /"
"CO","B","EH",210,"","",0,252,58,161520,336862,498382,498382,"/  /","/  /"
"CO","B","EH",211,"","",0,400,91,214911,441099,656010,656010,"13/08/2004","13/08/2009"
"CO","B","EH",212,"","",0,400,61,203601,957916,1161517,1161517,"/  /","/  /"
"CO","B","EH",214,"","",0,225,124,144216,1235638,1379854,1379854,"/  /","/  /"
"CO","B","EH",215,"","",0,450,308,288436,2900691,3189127,3189127,"03/11/2016","03/11/2021"
"CO","B","EH",216,"","",0,225,298,144216,2387281,2531497,2531497,"20/12/2018","20/12/2023"
"CO","B","EH",217,"","",0,353,84,199636,829705,1029341,1029341,"/  /","/  /"
"CO","B","EH",218,"","",0,209,116,165474,611532,777006,839033,"09/07/2023","09/07/2028"
"CO","B","EH",219,"","",0,418,76,271864,434908,706772,706772,"/  /","/  /"
"CO","B","EH",221,"","",0,209,122,135927,1777641,1913568,1913568,"/  /","/  /"
"CO","B","EH",222,"","",0,209,188,133961,2131132,2265093,2265093,"13/11/2008","13/11/2013"
"CO","B","EH",224,"","",0,264,160,161520,1020908,1182428,1182428,"28/07/2010","28/07/2015"
"CO","B","EH",225,"","",0,320,151,244320,1136104,1380424,763955,"16/02/2024","16/02/2029"
"CO","B","EH",226,"","",0,162,0,118372,0,118372,314392,"18/02/2024","18/02/2029"
"CO","B","EH",227,"","",0,457,133,275689,991638,1267327,1267327,"/  /","/  /"
"CO","B","EH",231,"","",0,353,162,236248,1560447,1796695,1796695,"06/02/2014","06/02/2019"
"CO","B","EH",232,"","",0,324,202,207677,2108464,2316141,2316141,"/  /","/  /"
"CO","B","EH",233,"","",0,324,178,180185,1690154,1870339,1699196,"31/07/2021","31/07/2026"
"CO","B","EH",234,"","",0,324,0,180185,0,180185,180185,"06/06/2018","06/06/2023"
"CO","B","EH",235,"","",0,324,105,180185,869370,1049555,1049555,"19/05/2010","19/05/2015"
"CO","B","EH",236,"","",0,324,126,180185,1878148,2058333,2058333,"/  /","/  /"
"CO","B","EH",237,"","",0,270,82,150161,345285,495446,495446,"/  /","/  /"
"CO","B","EH",238,"","",0,504,0,237531,0,237531,237531,"/  /","/  /"
"CO","B","EH",239,"","",0,336,247,158351,1993087,2151438,2151438,"19/09/2018","19/09/2023"
"CO","B","EH",240,"","",0,235,370,137433,2029008,2166441,2166441,"30/05/2019","30/05/2024"
"CO","B","EH",241,"","",0,241,122,122253,669313,791566,791566,"15/12/2003","15/12/2008"
"CO","B","EH",242,"","",0,337,356,168354,1430950,1599304,1599304,"16/02/2009","16/02/2014"
"CO","B","EH",244,"","",0,324,0,164911,0,164911,164911,"/  /","/  /"
"CO","B","EH",245,"","",0,324,84,167963,1055286,1223249,1223249,"/  /","/  /"
"CO","B","EH",246,"","",0,324,256,167963,1007673,1175636,1175636,"21/02/2012","21/02/2017"
"CO","B","EH",247,"","",0,320,197,192940,460932,653872,653872,"03/11/2011","03/11/2016"
