"C贸digo r茅gimen","C贸digo departamento","C贸digo localidad","Padr贸n","Bloc / Manzana","EP / SS","Unidad","Nivel","Area construida","A帽o de construcci贸n","A帽o remanente","EP/SS uso exclusivo","Unidad uso explusivo","Destinos","Categor铆a de construcci贸n","Estado conservaci贸n","Tipo de cubierta","Indicador cielorraso","Tipo de obra"
"CO","B","EH",236,"","",0,0,110,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",236,"","",0,0,16,0,0,NA,0,"DEPOSITO","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",237,"","",0,0,46,0,0,NA,0,"VIVIENDA","Muy economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",237,"","",0,0,36,0,0,NA,0,"DEPOSITO","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",241,"","",0,0,122,1960,0,NA,0,"VIVIENDA","Comun","Regular","Losa o bovedilla",NA,"Original"
"CO","B","EH",245,"","",0,0,84,0,0,NA,0,"COMERCIO","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",252,"","",0,0,101,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",252,"","",0,0,6,0,0,NA,0,"CENTRO DE SALUD","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",252,"","",0,0,26,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",254,"","",0,0,60,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",256,"","",0,0,85,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",260,"","",0,0,100,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",261,"","",0,0,45,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",265,"","",0,0,79,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",267,"","",0,0,58,0,0,NA,0,"VIVIENDA","Muy economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",277,"","",0,0,102,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",285,"","",0,0,66,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",288,"","",0,0,144,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
